_id,CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
47,2017,CA-504,Sonoma County CoC,25-34,429
48,2017,CA-504,Sonoma County CoC,35-44,440
49,2017,CA-504,Sonoma County CoC,45-54,477
50,2017,CA-504,Sonoma County CoC,55-64,467
51,2017,CA-504,Sonoma County CoC,65+,151
52,2017,CA-504,Sonoma County CoC,Invalid,*
53,2017,CA-504,Sonoma County CoC,Under 18,671
54,2017,CA-505,Contra Costa County CoC,18-24,364
55,2017,CA-505,Contra Costa County CoC,25-34,766
56,2017,CA-505,Contra Costa County CoC,35-44,785
57,2017,CA-505,Contra Costa County CoC,45-54,840
58,2017,CA-505,Contra Costa County CoC,55-64,736
59,2017,CA-505,Contra Costa County CoC,65+,263
60,2017,CA-505,Contra Costa County CoC,Invalid,*
61,2017,CA-505,Contra Costa County CoC,Under 18,1066
62,2017,CA-505,Contra Costa County CoC,Unknown,*
63,2017,CA-506,"Monterey, San Benito Counties CoC",18-24,176
64,2017,CA-506,"Monterey, San Benito Counties CoC",25-34,360
65,2017,CA-506,"Monterey, San Benito Counties CoC",35-44,252
66,2017,CA-506,"Monterey, San Benito Counties CoC",45-54,250
67,2017,CA-506,"Monterey, San Benito Counties CoC",55-64,241
68,2017,CA-506,"Monterey, San Benito Counties CoC",65+,103
69,2017,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
70,2017,CA-506,"Monterey, San Benito Counties CoC",Under 18,865
71,2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
72,2017,CA-507,Marin County CoC,18-24,103
73,2017,CA-507,Marin County CoC,25-34,256
74,2017,CA-507,Marin County CoC,35-44,268
75,2017,CA-507,Marin County CoC,45-54,301
76,2017,CA-507,Marin County CoC,55-64,286
77,2017,CA-507,Marin County CoC,65+,110
78,2017,CA-507,Marin County CoC,Under 18,301
79,2017,CA-507,Marin County CoC,Unknown,*
80,2017,CA-508,Santa Cruz County CoC,18-24,106
81,2017,CA-508,Santa Cruz County CoC,25-34,287
82,2017,CA-508,Santa Cruz County CoC,35-44,263
83,2017,CA-508,Santa Cruz County CoC,45-54,314
84,2017,CA-508,Santa Cruz County CoC,55-64,285
85,2017,CA-508,Santa Cruz County CoC,65+,125
86,2017,CA-508,Santa Cruz County CoC,Under 18,454
87,2017,CA-508,Santa Cruz County CoC,Unknown,13
88,2017,CA-509,Mendocino County CoC,18-24,88
89,2017,CA-509,Mendocino County CoC,25-34,124
90,2017,CA-509,Mendocino County CoC,35-44,129
91,2017,CA-509,Mendocino County CoC,45-54,142
92,2017,CA-509,Mendocino County CoC,55-64,118
93,2017,CA-509,Mendocino County CoC,65+,43
94,2017,CA-509,Mendocino County CoC,Under 18,60
95,2017,CA-509,Mendocino County CoC,Unknown,*
96,2017,CA-510,Stanislaus County CoC,18-24,537
97,2017,CA-510,Stanislaus County CoC,25-34,980
98,2017,CA-510,Stanislaus County CoC,35-44,849
99,2017,CA-510,Stanislaus County CoC,45-54,658
100,2017,CA-510,Stanislaus County CoC,55-64,486
101,2017,CA-510,Stanislaus County CoC,65+,137
102,2017,CA-510,Stanislaus County CoC,Under 18,2551
103,2017,CA-510,Stanislaus County CoC,Unknown,*
104,2017,CA-511,San Joaquin County CoC,18-24,666
105,2017,CA-511,San Joaquin County CoC,25-34,1282
106,2017,CA-511,San Joaquin County CoC,35-44,940
107,2017,CA-511,San Joaquin County CoC,45-54,719
108,2017,CA-511,San Joaquin County CoC,55-64,521
109,2017,CA-511,San Joaquin County CoC,65+,177
110,2017,CA-511,San Joaquin County CoC,Invalid,*
111,2017,CA-511,San Joaquin County CoC,Under 18,3531
112,2017,CA-511,San Joaquin County CoC,Unknown,11
113,2017,CA-512,San Mateo County CoC,18-24,308
114,2017,CA-512,San Mateo County CoC,25-34,648
115,2017,CA-512,San Mateo County CoC,35-44,563
116,2017,CA-512,San Mateo County CoC,45-54,621
117,2017,CA-512,San Mateo County CoC,55-64,662
118,2017,CA-512,San Mateo County CoC,65+,217
119,2017,CA-512,San Mateo County CoC,Under 18,1230
120,2017,CA-512,San Mateo County CoC,Unknown,11
121,2017,CA-513,"Kings, Tulare Counties CoC",18-24,279
122,2017,CA-513,"Kings, Tulare Counties CoC",25-34,573
123,2017,CA-513,"Kings, Tulare Counties CoC",35-44,523
124,2017,CA-513,"Kings, Tulare Counties CoC",45-54,416
125,2017,CA-513,"Kings, Tulare Counties CoC",55-64,277
126,2017,CA-513,"Kings, Tulare Counties CoC",65+,82
127,2017,CA-513,"Kings, Tulare Counties CoC",Under 18,801
128,2017,CA-513,"Kings, Tulare Counties CoC",Unknown,*
129,2017,CA-514,"Fresno, Madera Counties CoC",18-24,164
130,2017,CA-514,"Fresno, Madera Counties CoC",25-34,308
131,2017,CA-514,"Fresno, Madera Counties CoC",35-44,305
132,2017,CA-514,"Fresno, Madera Counties CoC",45-54,336
133,2017,CA-514,"Fresno, Madera Counties CoC",55-64,343
134,2017,CA-514,"Fresno, Madera Counties CoC",65+,95
135,2017,CA-514,"Fresno, Madera Counties CoC",Invalid,*
136,2017,CA-514,"Fresno, Madera Counties CoC",Under 18,767
137,2017,CA-514,"Fresno, Madera Counties CoC",Unknown,*
138,2017,CA-515,Placer County CoC,18-24,90
139,2017,CA-515,Placer County CoC,25-34,210
140,2017,CA-515,Placer County CoC,35-44,223
141,2017,CA-515,Placer County CoC,45-54,221
142,2017,CA-515,Placer County CoC,55-64,197
143,2017,CA-515,Placer County CoC,65+,58
144,2017,CA-515,Placer County CoC,Invalid,*
145,2017,CA-515,Placer County CoC,Under 18,268
146,2017,CA-515,Placer County CoC,Unknown,*
147,2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",18-24,23
148,2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",25-34,57
149,2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",35-44,44
150,2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",45-54,21
151,2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",55-64,22
152,2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",65+,*
153,2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Invalid,*
154,2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Under 18,80
155,2017,CA-517,Napa County CoC,18-24,78
156,2017,CA-517,Napa County CoC,25-34,194
157,2017,CA-517,Napa County CoC,35-44,149
158,2017,CA-517,Napa County CoC,45-54,174
159,2017,CA-517,Napa County CoC,55-64,142
160,2017,CA-517,Napa County CoC,65+,29
161,2017,CA-517,Napa County CoC,Under 18,179
162,2017,CA-518,Solano County CoC,18-24,67
163,2017,CA-518,Solano County CoC,25-34,144
164,2017,CA-518,Solano County CoC,35-44,142
165,2017,CA-518,Solano County CoC,45-54,147
166,2017,CA-518,Solano County CoC,55-64,166
167,2017,CA-518,Solano County CoC,65+,62
168,2017,CA-518,Solano County CoC,Invalid,*
169,2017,CA-518,Solano County CoC,Under 18,225
170,2017,CA-518,Solano County CoC,Unknown,*
171,2017,CA-519,Butte County CoC,18-24,121
172,2017,CA-519,Butte County CoC,25-34,276
173,2017,CA-519,Butte County CoC,35-44,212
174,2017,CA-519,Butte County CoC,45-54,202
175,2017,CA-519,Butte County CoC,55-64,189
176,2017,CA-519,Butte County CoC,65+,57
177,2017,CA-519,Butte County CoC,Under 18,320
178,2017,CA-519,Butte County CoC,Unknown,*
179,2017,CA-520,Merced County CoC,18-24,42
180,2017,CA-520,Merced County CoC,25-34,83
181,2017,CA-520,Merced County CoC,35-44,113
182,2017,CA-520,Merced County CoC,45-54,132
183,2017,CA-520,Merced County CoC,55-64,161
184,2017,CA-520,Merced County CoC,65+,37
185,2017,CA-520,Merced County CoC,Under 18,36
186,2017,CA-521,Yolo County CoC,18-24,39
187,2017,CA-521,Yolo County CoC,25-34,109
188,2017,CA-521,Yolo County CoC,35-44,95
189,2017,CA-521,Yolo County CoC,45-54,88
190,2017,CA-521,Yolo County CoC,55-64,65
191,2017,CA-521,Yolo County CoC,65+,*
192,2017,CA-521,Yolo County CoC,Under 18,129
193,2017,CA-522,Humboldt County CoC,18-24,81
194,2017,CA-522,Humboldt County CoC,25-34,150
195,2017,CA-522,Humboldt County CoC,35-44,131
196,2017,CA-522,Humboldt County CoC,45-54,125
197,2017,CA-522,Humboldt County CoC,55-64,142
198,2017,CA-522,Humboldt County CoC,65+,50
199,2017,CA-522,Humboldt County CoC,Invalid,*
200,2017,CA-522,Humboldt County CoC,Under 18,325
201,2017,CA-522,Humboldt County CoC,Unknown,*
202,2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",18-24,23
203,2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",25-34,32
204,2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",35-44,20
205,2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",45-54,*
206,2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",55-64,*
207,2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Under 18,119
208,2017,CA-525,El Dorado County CoC,18-24,18
209,2017,CA-525,El Dorado County CoC,25-34,35
210,2017,CA-525,El Dorado County CoC,35-44,37
211,2017,CA-525,El Dorado County CoC,45-54,46
212,2017,CA-525,El Dorado County CoC,55-64,38
213,2017,CA-525,El Dorado County CoC,65+,*
214,2017,CA-525,El Dorado County CoC,Under 18,120
215,2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",18-24,41
216,2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",25-34,93
217,2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",35-44,79
218,2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",45-54,70
219,2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",55-64,52
220,2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",65+,17
221,2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Under 18,196
222,2017,CA-527,Tehama County CoC,18-24,30
223,2017,CA-527,Tehama County CoC,25-34,80
224,2017,CA-527,Tehama County CoC,35-44,69
225,2017,CA-527,Tehama County CoC,45-54,60
226,2017,CA-527,Tehama County CoC,55-64,77
227,2017,CA-527,Tehama County CoC,65+,22
228,2017,CA-527,Tehama County CoC,Under 18,55
229,2017,CA-527,Tehama County CoC,Unknown,*
230,2017,CA-529,Lake County CoC,18-24,*
231,2017,CA-529,Lake County CoC,25-34,*
232,2017,CA-529,Lake County CoC,35-44,*
233,2017,CA-529,Lake County CoC,45-54,*
234,2017,CA-529,Lake County CoC,55-64,*
235,2017,CA-529,Lake County CoC,65+,*
236,2017,CA-529,Lake County CoC,Under 18,15
237,2017,CA-530,"Alpine, Inyo, Mono Counties CoC",18-24,17
238,2017,CA-530,"Alpine, Inyo, Mono Counties CoC",25-34,24
239,2017,CA-530,"Alpine, Inyo, Mono Counties CoC",35-44,28
240,2017,CA-530,"Alpine, Inyo, Mono Counties CoC",45-54,27
241,2017,CA-530,"Alpine, Inyo, Mono Counties CoC",55-64,21
242,2017,CA-530,"Alpine, Inyo, Mono Counties CoC",65+,*
243,2017,CA-530,"Alpine, Inyo, Mono Counties CoC",Under 18,55
244,2017,CA-531,Nevada County CoC,18-24,43
245,2017,CA-531,Nevada County CoC,25-34,75
246,2017,CA-531,Nevada County CoC,35-44,93
247,2017,CA-531,Nevada County CoC,45-54,86
248,2017,CA-531,Nevada County CoC,55-64,75
249,2017,CA-531,Nevada County CoC,65+,24
250,2017,CA-531,Nevada County CoC,Under 18,67
251,2017,CA-600,Los Angeles County CoC,18-24,5980
252,2017,CA-600,Los Angeles County CoC,25-34,9037
253,2017,CA-600,Los Angeles County CoC,35-44,7971
254,2017,CA-600,Los Angeles County CoC,45-54,8950
255,2017,CA-600,Los Angeles County CoC,55-64,7587
256,2017,CA-600,Los Angeles County CoC,65+,2366
257,2017,CA-600,Los Angeles County CoC,Invalid,29
258,2017,CA-600,Los Angeles County CoC,Under 18,12290
259,2017,CA-600,Los Angeles County CoC,Unknown,1233
260,2017,CA-601,San Diego County CoC,18-24,733
261,2017,CA-601,San Diego County CoC,25-34,1552
262,2017,CA-601,San Diego County CoC,35-44,1671
263,2017,CA-601,San Diego County CoC,45-54,2056
264,2017,CA-601,San Diego County CoC,55-64,2149
265,2017,CA-601,San Diego County CoC,65+,578
266,2017,CA-601,San Diego County CoC,Invalid,13
267,2017,CA-601,San Diego County CoC,Under 18,2815
268,2017,CA-601,San Diego County CoC,Unknown,22
269,2017,CA-602,Orange County CoC,18-24,586
270,2017,CA-602,Orange County CoC,25-34,1231
271,2017,CA-602,Orange County CoC,35-44,1183
272,2017,CA-602,Orange County CoC,45-54,1244
273,2017,CA-602,Orange County CoC,55-64,1077
274,2017,CA-602,Orange County CoC,65+,511
275,2017,CA-602,Orange County CoC,Invalid,13
276,2017,CA-602,Orange County CoC,Under 18,2854
277,2017,CA-602,Orange County CoC,Unknown,1824
278,2017,CA-603,Santa Barbara County CoC,18-24,186
279,2017,CA-603,Santa Barbara County CoC,25-34,506
280,2017,CA-603,Santa Barbara County CoC,35-44,448
281,2017,CA-603,Santa Barbara County CoC,45-54,492
282,2017,CA-603,Santa Barbara County CoC,55-64,467
283,2017,CA-603,Santa Barbara County CoC,65+,185
284,2017,CA-603,Santa Barbara County CoC,Invalid,*
285,2017,CA-603,Santa Barbara County CoC,Under 18,545
286,2017,CA-603,Santa Barbara County CoC,Unknown,*
287,2017,CA-604,Kern County CoC,18-24,369
288,2017,CA-604,Kern County CoC,25-34,657
289,2017,CA-604,Kern County CoC,35-44,527
290,2017,CA-604,Kern County CoC,45-54,505
291,2017,CA-604,Kern County CoC,55-64,343
292,2017,CA-604,Kern County CoC,65+,109
293,2017,CA-604,Kern County CoC,Invalid,*
294,2017,CA-604,Kern County CoC,Under 18,1753
295,2017,CA-604,Kern County CoC,Unknown,*
296,2017,CA-606,Long Beach CoC (Los Angeles County),18-24,150
297,2017,CA-606,Long Beach CoC (Los Angeles County),25-34,367
298,2017,CA-606,Long Beach CoC (Los Angeles County),35-44,306
299,2017,CA-606,Long Beach CoC (Los Angeles County),45-54,437
300,2017,CA-606,Long Beach CoC (Los Angeles County),55-64,483
301,2017,CA-606,Long Beach CoC (Los Angeles County),65+,169
302,2017,CA-606,Long Beach CoC (Los Angeles County),Invalid,*
303,2017,CA-606,Long Beach CoC (Los Angeles County),Under 18,751
304,2017,CA-607,Pasadena CoC (Los Angeles County),18-24,96
305,2017,CA-607,Pasadena CoC (Los Angeles County),25-34,169
306,2017,CA-607,Pasadena CoC (Los Angeles County),35-44,272
307,2017,CA-607,Pasadena CoC (Los Angeles County),45-54,234
308,2017,CA-607,Pasadena CoC (Los Angeles County),55-64,198
309,2017,CA-607,Pasadena CoC (Los Angeles County),65+,100
310,2017,CA-607,Pasadena CoC (Los Angeles County),Under 18,312
311,2017,CA-607,Pasadena CoC (Los Angeles County),Unknown,*
312,2017,CA-608,Riverside County CoC,18-24,675
313,2017,CA-608,Riverside County CoC,25-34,1057
314,2017,CA-608,Riverside County CoC,35-44,991
315,2017,CA-608,Riverside County CoC,45-54,1076
316,2017,CA-608,Riverside County CoC,55-64,843
317,2017,CA-608,Riverside County CoC,65+,263
318,2017,CA-608,Riverside County CoC,Under 18,1616
319,2017,CA-608,Riverside County CoC,Unknown,88
320,2017,CA-609,San Bernardino County CoC,18-24,614
321,2017,CA-609,San Bernardino County CoC,25-34,1198
322,2017,CA-609,San Bernardino County CoC,35-44,918
323,2017,CA-609,San Bernardino County CoC,45-54,698
324,2017,CA-609,San Bernardino County CoC,55-64,561
325,2017,CA-609,San Bernardino County CoC,65+,166
326,2017,CA-609,San Bernardino County CoC,Invalid,*
327,2017,CA-609,San Bernardino County CoC,Under 18,4130
328,2017,CA-609,San Bernardino County CoC,Unknown,*
329,2017,CA-611,Ventura County CoC,18-24,117
330,2017,CA-611,Ventura County CoC,25-34,298
331,2017,CA-611,Ventura County CoC,35-44,316
332,2017,CA-611,Ventura County CoC,45-54,336
333,2017,CA-611,Ventura County CoC,55-64,304
334,2017,CA-611,Ventura County CoC,65+,91
335,2017,CA-611,Ventura County CoC,Invalid,*
336,2017,CA-611,Ventura County CoC,Under 18,465
337,2017,CA-611,Ventura County CoC,Unknown,*
338,2017,CA-612,Glendale CoC (Los Angeles County),18-24,26
339,2017,CA-612,Glendale CoC (Los Angeles County),25-34,59
340,2017,CA-612,Glendale CoC (Los Angeles County),35-44,50
341,2017,CA-612,Glendale CoC (Los Angeles County),45-54,73
342,2017,CA-612,Glendale CoC (Los Angeles County),55-64,59
343,2017,CA-612,Glendale CoC (Los Angeles County),65+,27
344,2017,CA-612,Glendale CoC (Los Angeles County),Invalid,*
345,2017,CA-612,Glendale CoC (Los Angeles County),Under 18,129
346,2017,CA-612,Glendale CoC (Los Angeles County),Unknown,*
347,2017,CA-613,Imperial County CoC,18-24,44
348,2017,CA-613,Imperial County CoC,25-34,90
349,2017,CA-613,Imperial County CoC,35-44,82
350,2017,CA-613,Imperial County CoC,45-54,80
351,2017,CA-613,Imperial County CoC,55-64,75
352,2017,CA-613,Imperial County CoC,65+,50
353,2017,CA-613,Imperial County CoC,Invalid,*
354,2017,CA-613,Imperial County CoC,Under 18,71
355,2017,CA-613,Imperial County CoC,Unknown,*
356,2017,CA-614,San Luis Obispo County CoC,18-24,131
357,2017,CA-614,San Luis Obispo County CoC,25-34,332
358,2017,CA-614,San Luis Obispo County CoC,35-44,246
359,2017,CA-614,San Luis Obispo County CoC,45-54,218
360,2017,CA-614,San Luis Obispo County CoC,55-64,201
361,2017,CA-614,San Luis Obispo County CoC,65+,78
362,2017,CA-614,San Luis Obispo County CoC,Invalid,*
363,2017,CA-614,San Luis Obispo County CoC,Under 18,534
364,2018,All,California,18-24,18781
365,2018,All,California,25-34,32935
366,2018,All,California,35-44,29853
367,2018,All,California,45-54,30639
368,2018,All,California,55-64,28008
369,2018,All,California,65+,9770
370,2018,All,California,Invalid,101
371,2018,All,California,Under 18,55745
372,2018,All,California,Unknown,6484
373,2018,CA-500,Santa Clara County CoC,18-24,810
374,2018,CA-500,Santa Clara County CoC,25-34,1490
375,2018,CA-500,Santa Clara County CoC,35-44,1447
376,2018,CA-500,Santa Clara County CoC,45-54,1568
377,2018,CA-500,Santa Clara County CoC,55-64,1528
378,2018,CA-500,Santa Clara County CoC,65+,521
379,2018,CA-500,Santa Clara County CoC,Under 18,2395
380,2018,CA-500,Santa Clara County CoC,Unknown,14
381,2018,CA-501,San Francisco CoC,18-24,706
382,2018,CA-501,San Francisco CoC,25-34,804
383,2018,CA-501,San Francisco CoC,35-44,731
384,2018,CA-501,San Francisco CoC,45-54,703
385,2018,CA-501,San Francisco CoC,55-64,600
386,2018,CA-501,San Francisco CoC,65+,224
387,2018,CA-501,San Francisco CoC,Invalid,*
388,2018,CA-501,San Francisco CoC,Under 18,1857
389,2018,CA-501,San Francisco CoC,Unknown,56
390,2018,CA-502,Alameda County CoC,18-24,752
391,2018,CA-502,Alameda County CoC,25-34,951
392,2018,CA-502,Alameda County CoC,35-44,817
393,2018,CA-502,Alameda County CoC,45-54,902
394,2018,CA-502,Alameda County CoC,55-64,956
395,2018,CA-502,Alameda County CoC,65+,378
396,2018,CA-502,Alameda County CoC,Invalid,*
397,2018,CA-502,Alameda County CoC,Under 18,1718
398,2018,CA-502,Alameda County CoC,Unknown,*
399,2018,CA-503,Sacramento County CoC,18-24,1176
400,2018,CA-503,Sacramento County CoC,25-34,1617
401,2018,CA-503,Sacramento County CoC,35-44,1543
402,2018,CA-503,Sacramento County CoC,45-54,1658
403,2018,CA-503,Sacramento County CoC,55-64,1349
404,2018,CA-503,Sacramento County CoC,65+,363
405,2018,CA-503,Sacramento County CoC,Under 18,4003
406,2018,CA-503,Sacramento County CoC,Unknown,*
407,2018,CA-504,Sonoma County CoC,18-24,264
408,2018,CA-504,Sonoma County CoC,25-34,420
409,2018,CA-504,Sonoma County CoC,35-44,452
410,2018,CA-504,Sonoma County CoC,45-54,457
411,2018,CA-504,Sonoma County CoC,55-64,446
412,2018,CA-504,Sonoma County CoC,65+,180
413,2018,CA-504,Sonoma County CoC,Under 18,705
414,2018,CA-504,Sonoma County CoC,Unknown,*
415,2018,CA-505,Contra Costa County CoC,18-24,391
416,2018,CA-505,Contra Costa County CoC,25-34,948
417,2018,CA-505,Contra Costa County CoC,35-44,884
418,2018,CA-505,Contra Costa County CoC,45-54,944
419,2018,CA-505,Contra Costa County CoC,55-64,929
420,2018,CA-505,Contra Costa County CoC,65+,338
421,2018,CA-505,Contra Costa County CoC,Under 18,1113
422,2018,CA-505,Contra Costa County CoC,Unknown,*
423,2018,CA-506,"Monterey, San Benito Counties CoC",18-24,153
424,2018,CA-506,"Monterey, San Benito Counties CoC",25-34,380
425,2018,CA-506,"Monterey, San Benito Counties CoC",35-44,347
426,2018,CA-506,"Monterey, San Benito Counties CoC",45-54,316
427,2018,CA-506,"Monterey, San Benito Counties CoC",55-64,335
428,2018,CA-506,"Monterey, San Benito Counties CoC",65+,138
429,2018,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
430,2018,CA-506,"Monterey, San Benito Counties CoC",Under 18,885
431,2018,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
432,2018,CA-507,Marin County CoC,18-24,77
433,2018,CA-507,Marin County CoC,25-34,232
434,2018,CA-507,Marin County CoC,35-44,211
435,2018,CA-507,Marin County CoC,45-54,248
436,2018,CA-507,Marin County CoC,55-64,226
437,2018,CA-507,Marin County CoC,65+,105
438,2018,CA-507,Marin County CoC,Under 18,254
439,2018,CA-508,Santa Cruz County CoC,18-24,101
440,2018,CA-508,Santa Cruz County CoC,25-34,277
441,2018,CA-508,Santa Cruz County CoC,35-44,281
442,2018,CA-508,Santa Cruz County CoC,45-54,298
443,2018,CA-508,Santa Cruz County CoC,55-64,303
444,2018,CA-508,Santa Cruz County CoC,65+,124
445,2018,CA-508,Santa Cruz County CoC,Under 18,467
446,2018,CA-508,Santa Cruz County CoC,Unknown,47
447,2018,CA-509,Mendocino County CoC,18-24,60
448,2018,CA-509,Mendocino County CoC,25-34,96
449,2018,CA-509,Mendocino County CoC,35-44,103
450,2018,CA-509,Mendocino County CoC,45-54,105
451,2018,CA-509,Mendocino County CoC,55-64,101
452,2018,CA-509,Mendocino County CoC,65+,38
453,2018,CA-509,Mendocino County CoC,Under 18,64
454,2018,CA-509,Mendocino County CoC,Unknown,21
455,2018,CA-510,Stanislaus County CoC,18-24,522
456,2018,CA-510,Stanislaus County CoC,25-34,1044
457,2018,CA-510,Stanislaus County CoC,35-44,916
458,2018,CA-510,Stanislaus County CoC,45-54,732
459,2018,CA-510,Stanislaus County CoC,55-64,571
460,2018,CA-510,Stanislaus County CoC,65+,168
461,2018,CA-510,Stanislaus County CoC,Under 18,2195
462,2018,CA-510,Stanislaus County CoC,Unknown,*
463,2018,CA-511,San Joaquin County CoC,18-24,789
464,2018,CA-511,San Joaquin County CoC,25-34,1507
465,2018,CA-511,San Joaquin County CoC,35-44,1114
466,2018,CA-511,San Joaquin County CoC,45-54,824
467,2018,CA-511,San Joaquin County CoC,55-64,609
468,2018,CA-511,San Joaquin County CoC,65+,201
469,2018,CA-511,San Joaquin County CoC,Invalid,*
470,2018,CA-511,San Joaquin County CoC,Under 18,4117
471,2018,CA-511,San Joaquin County CoC,Unknown,*
472,2018,CA-512,San Mateo County CoC,18-24,290
473,2018,CA-512,San Mateo County CoC,25-34,621
474,2018,CA-512,San Mateo County CoC,35-44,581
475,2018,CA-512,San Mateo County CoC,45-54,634
476,2018,CA-512,San Mateo County CoC,55-64,663
477,2018,CA-512,San Mateo County CoC,65+,271
478,2018,CA-512,San Mateo County CoC,Invalid,*
479,2018,CA-512,San Mateo County CoC,Under 18,1226
480,2018,CA-512,San Mateo County CoC,Unknown,*
481,2018,CA-513,"Kings, Tulare Counties CoC",18-24,272
482,2018,CA-513,"Kings, Tulare Counties CoC",25-34,533
483,2018,CA-513,"Kings, Tulare Counties CoC",35-44,569
484,2018,CA-513,"Kings, Tulare Counties CoC",45-54,419
485,2018,CA-513,"Kings, Tulare Counties CoC",55-64,274
486,2018,CA-513,"Kings, Tulare Counties CoC",65+,78
487,2018,CA-513,"Kings, Tulare Counties CoC",Invalid,*
488,2018,CA-513,"Kings, Tulare Counties CoC",Under 18,818
489,2018,CA-513,"Kings, Tulare Counties CoC",Unknown,*
490,2018,CA-514,"Fresno, Madera Counties CoC",18-24,230
491,2018,CA-514,"Fresno, Madera Counties CoC",25-34,350
492,2018,CA-514,"Fresno, Madera Counties CoC",35-44,347
493,2018,CA-514,"Fresno, Madera Counties CoC",45-54,406
494,2018,CA-514,"Fresno, Madera Counties CoC",55-64,393
495,2018,CA-514,"Fresno, Madera Counties CoC",65+,116
496,2018,CA-514,"Fresno, Madera Counties CoC",Invalid,*
497,2018,CA-514,"Fresno, Madera Counties CoC",Under 18,644
